"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1",1893,-7.9,NA,-0.4,5.7,12.4,17.4,20.3,19.9,14,11.3,4.1,-1.8,8.63636363636364
"2",1894,-2.4,-4.8,4.2,7,13.5,19.1,22.5,19.1,17.7,10.9,1.7,-1.3,8.93333333333333
"3",1895,-3.6,-6,-0.4,6.7,14.6,18.9,19.3,20.6,17.8,8.1,6.1,0.4,8.54166666666667
"4",1896,-5.7,-3.2,-1.7,8,14.9,17.3,20.9,20.3,15.5,8.6,7,-2.9,8.25
"5",1897,-3.7,-2.4,1.2,8,13.1,15.6,20.7,19.3,15.8,11.2,3.9,-0.8,8.49166666666667
"6",1898,-3.6,-1.2,4.8,4.9,12.2,17.7,21,21.3,18,11,4.2,-2,9.025
"7",1899,-3.2,-5.2,-0.2,7.7,13.4,19.9,21.2,19.7,15.7,10.9,4.2,0.4,8.70833333333333
"8",1900,-2.3,-3,-0.6,7.6,12,18.9,21.8,21.2,17.9,12.7,5.7,-1.1,9.23333333333333
"9",1901,-4.5,-6.4,0.8,5.6,11.8,19.3,22.2,20.8,17.6,12.2,0.3,-1.7,8.16666666666667
"10",1902,-4.4,-3.4,5.1,8,13.7,16.9,18.9,18.8,16.3,10.8,6.7,-3.1,8.69166666666667
"11",1903,-3.2,-1.7,6.2,7.8,14.5,14.8,20.7,17.1,16.9,10.8,2.6,-4.1,8.53333333333333
"12",1904,-7.2,-7.2,0.2,6.1,15.3,16.4,20.5,19.2,15.8,8.8,1.9,NA,8.16363636363636
"13",1905,-5.5,-6.7,1.2,7.2,13.2,17.3,21.4,19.2,15.7,10.8,3.6,-0.2,8.1
"14",1906,0,-2.7,-1.2,7.6,13.5,17.9,20.2,21.3,17.4,10.5,3.6,-3.5,8.71666666666667
"15",1907,-4.3,-7.5,1.6,4.5,9.7,16.8,20.9,19.6,16.6,8,4.2,0.5,7.55
"16",1908,-2.5,-4.5,2.2,7.4,14.2,19.6,22.4,19.2,17.6,12.9,4.1,-1.4,9.26666666666667
"17",1909,-2.7,-1.4,0.6,7.2,12.3,18.9,20.4,19.6,15.6,10,6.2,-3.9,8.56666666666667
"18",1910,-1.9,-3.5,4,9.9,12.7,17.1,22.7,19.8,16.2,11.7,2.9,-4.6,8.91666666666667
"19",1911,-1.9,-4.7,0.1,6.3,15.9,17.4,23.3,19.3,15.6,9.8,3.7,2,8.9
"20",1912,-8,-5,0.1,7.2,13.5,18.6,21.3,18.6,16.1,12.4,5.6,1.6,8.5
"21",1913,2.2,-4.2,4.4,7.3,11.6,17.8,21.6,20.3,15.1,12,6,1.2,9.60833333333333
"22",1914,-3.7,-6.2,0.7,5.7,14.5,17.4,18.3,19.4,16.7,12.3,4,-2.9,8.01666666666667
"23",1915,-1.7,-1.6,-0.6,9.1,12.5,17,20.2,19.3,18.1,11.2,5,-1.8,8.89166666666667
"24",1916,-2.2,-5.9,-3.6,5.2,12.8,14.9,20.7,20.9,17.2,12,4.6,-1.6,7.91666666666667
"25",1917,-3.1,-5.1,1,4.9,8.4,17.2,21.2,21.7,14.4,9.2,2.5,-6.3,7.16666666666667
"26",1918,-8,-4.3,1.2,7.7,15.6,16.2,20.2,20.2,14.5,11.5,4.6,-1.6,8.15
"27",1919,-2,-2.8,2.3,6.5,14.3,18.1,21.3,18.1,15.1,10.5,3.7,-4.6,8.375
"28",1920,-8.9,-5.8,1.8,5.6,12.1,16.2,20.1,20.6,16.3,12.3,2.4,-1,7.64166666666667
"29",1921,-3.3,-3,5.7,9.2,12.8,19,22,19.2,18.7,10.5,2.9,-2.5,9.26666666666667
"30",1922,-5.3,-2.8,1.9,7.9,15.5,19.3,21.2,20.6,17.6,11.3,4.1,-2.9,9.03333333333333
"31",1923,-6,-7.9,-1.5,6.8,13.2,19.6,20,19.9,17.5,10.9,4.6,2.3,8.28333333333333
"32",1924,-2.6,-5.7,0.1,6.5,12,17.8,22,21.1,16.3,11.2,5.6,-3.4,8.40833333333333
"33",1925,-5.3,1,3.8,8.2,12.6,20.9,21.4,21.2,17.1,8.6,5.1,-0.9,9.475
"34",1926,-2.2,-4.1,-0.9,5.3,12,16.2,20.8,20.2,16.1,10.6,5.5,-3.2,8.025
"35",1927,-2.8,-1.3,3.7,7.7,11.8,16.8,20.9,18.5,16.9,12.8,7.5,0.2,9.39166666666667
"36",1928,-2,-3.3,0.7,6.5,11.9,17,21.4,22.1,15.2,12,4.9,1.4,8.98333333333333
"37",1929,-3.8,-2.4,3.3,6.9,14.2,19,21.5,19.9,17.7,10.2,4.8,-2.2,9.09166666666667
"38",1930,-2.6,-0.4,2.1,7.4,14.2,20.8,21.4,19.8,19.2,9.3,4.5,-1.7,9.5
"39",1931,-3.3,-3.3,1.3,8,13.8,17.6,22.3,20.8,18.2,13.4,8.1,0.5,9.78333333333333
"40",1932,1.9,-2.8,-0.3,6.9,13.8,17.4,20.7,21.4,16.4,11.8,4,1.3,9.375
"41",1933,1.2,-1.3,-0.1,6.3,14.9,19.1,20.1,20.1,16.9,10.3,1.9,-4.4,8.75
"42",1934,-2.9,-9.9,-0.1,7.8,14.8,18.5,22,18.7,17.7,8.6,6.1,-3.3,8.16666666666667
"43",1935,-5.9,-3.7,2.6,6.5,12.2,17.6,21.5,20.6,15.4,10.9,6.1,-4.5,8.275
"44",1936,-4.2,-6.8,5,5.8,14.6,17.8,20,20.1,16.1,10.5,2.6,0.3,8.48333333333333
"45",1937,1.7,-0.6,-0.5,6.1,14.3,18.3,21.8,22.5,15.8,10,5,-2.1,9.35833333333333
"46",1938,-3.7,-1.8,3,8.7,12.4,18.2,21,22,15.8,12.6,6.6,-0.3,9.54166666666667
"47",1939,-3.4,-1.1,-0.4,5.3,13.3,18.2,21.2,22.7,16.4,11,3.2,-0.6,8.81666666666667
"48",1940,-7,-3,-1.4,5.1,12.5,17.3,20.9,19.1,16.1,8.6,4.3,-0.3,7.68333333333333
"49",1941,-5.2,-3,-1.1,10,14.3,18.8,20.9,20.1,17.8,11.7,7.5,0.5,9.35833333333333
"50",1942,-3.7,-4.2,3.4,8.9,15.7,18.6,20.6,20.1,17.2,12,5,-3.4,9.18333333333333
"51",1943,-4.9,-1.9,1,5.3,13.7,20.4,22.3,20.7,16.5,11.3,4.9,-3,8.85833333333333
"52",1944,-1.8,-2.9,0.3,6.2,17.1,18.6,22.5,22.5,17.5,10.9,4.9,-2.5,9.44166666666667
"53",1945,-6,-2.5,7.1,10.8,12.1,18.5,21.2,20.3,18.4,10.5,6.3,-3.7,9.41666666666667
"54",1946,-3.4,-3.9,7.5,6.8,13.5,18.5,21,18.7,17.9,13.7,7.3,-0.1,9.79166666666667
"55",1947,-1.1,-3.1,1.4,7.4,13.1,17.2,22.3,21.5,16.8,15.3,3.5,-2.5,9.31666666666667
"56",1948,-6.3,-4.5,2.1,7.7,12,16.6,21.8,21.9,17.9,10.8,8.5,0.5,9.08333333333333
"57",1949,0.3,-0.1,2.7,9.3,14.4,20.5,23.8,22.7,16.2,13.5,4.8,1.1,10.7666666666667
"58",1950,0.9,-3.6,-0.7,7,12.4,19,21.5,20.2,14.9,12.2,7.4,0.1,9.275
"59",1951,-0.5,0,2.5,9.2,14.1,17.7,22,20.3,17.2,11.6,4.1,0.3,9.875
"60",1952,-1,-1.2,1.3,9.1,13,19.9,24.2,21.3,17.9,10.6,6,0.2,10.1083333333333
"61",1953,0,0.3,3,8.2,14,19.8,21.4,20.8,17.7,12.4,7.7,2.7,10.6666666666667
"62",1954,-4.8,1.4,2.4,8.8,12.2,17.9,20.7,19.2,15.5,13.4,5.3,-0.4,9.3
"63",1955,-3.9,-1.4,1.7,8.3,15.7,17.7,23.5,22.3,16.3,11.7,3.7,-4.8,9.23333333333333
"64",1956,-2.7,-1.4,-0.8,5.9,11.8,19.2,20.2,20.7,14.9,12,6.4,0.8,8.91666666666667
"65",1957,-5,-0.1,2.3,8.9,14.3,20.2,22.2,19.8,18.3,11.1,6.6,2.8,10.1166666666667
"66",1958,-2,-5.4,1.9,8.3,12,16.6,21.3,20.5,16.5,10.1,6.2,-5.2,8.4
"67",1959,-3.3,-4.7,1.4,8.3,15.7,16.5,21.6,21.9,18.7,10.8,4.9,0.2,9.33333333333333
"68",1960,-2.6,0.1,-1.7,8,14.4,19.1,20.8,20.5,16.1,10.8,7.4,-3.4,9.125
"69",1961,-5.7,-1.3,1.6,6,12.5,19.3,21.2,20.9,19.3,12.6,5.4,-1.3,9.20833333333333
"70",1962,-3.5,-4.3,2,8.6,13.2,18.6,19.7,19.8,15.4,10.7,3.9,-2.9,8.43333333333333
"71",1963,-3.3,-5.2,2.2,8,13.8,19,22.1,19.7,14.4,14.2,7.2,-5.2,8.90833333333333
"72",1964,-1.4,-3.2,2.5,6.9,15.5,18.5,21.1,18.6,16,10.9,6,-0.9,9.20833333333333
"73",1965,-5.1,-3.2,0.8,6.3,15.3,18.5,21.5,21.2,16.7,10.7,3.8,0.3,8.9
"74",1966,-4,-2.1,2.8,6.1,12.5,19.2,22.4,20.9,15.8,11,6.9,-0.6,9.24166666666667
"75",1967,0.1,-4.8,-0.6,6.3,10.3,19,21.8,20.6,16.2,11.5,2.9,0,8.60833333333333
"76",1968,-5.2,-5.1,2.8,9.3,12.6,17.2,22.5,20.5,17.7,12.7,4.5,-2.8,8.89166666666667
"77",1969,-3.1,-3,0.4,9.4,13.7,19.2,20.5,22.3,16.5,10.9,5.3,-1.7,9.2
"78",1970,-7.9,-1.9,0.8,8.4,14.5,18.2,22.3,21.7,17,12.1,6.3,-3.6,8.99166666666667
"79",1971,-6.4,-2.1,1.2,6.2,12.9,19.3,22.1,21.6,18.7,14.1,3.8,-0.2,9.26666666666667
"80",1972,-1.9,-3.7,0.2,5.5,13.2,17.1,21.4,20,16.7,8.8,3.3,-0.4,8.35
"81",1973,-1.6,-2.9,5.1,9.1,13,19.9,21.8,22.5,16.6,11.5,5.3,1.8,10.175
"82",1974,-2,-3,2.5,9.3,11.9,17.8,21.3,21.8,16.4,8.6,5.3,1,9.24166666666667
"83",1975,-0.6,-2,1.1,5.9,15.5,18.1,22.8,20.7,15.5,12.4,8.9,-0.8,9.79166666666667
"84",1976,-5.6,1.1,3,10.8,13.9,20.7,21.1,20.3,16.3,8.9,2.9,-4.3,9.09166666666667
"85",1977,-7.4,-2.5,5.5,9,15.3,17.6,22,21.5,16.3,10.6,6.3,-1.7,9.375
"86",1978,-4.7,-5.4,0.3,6.8,13.6,18.6,21.4,21.1,15,10.2,4.9,-0.4,8.45
"87",1979,-2.1,-7.5,4,7.6,14.9,18,22.7,20.4,16.7,10.4,8.1,1.2,9.53333333333333
"88",1980,-3,-4.2,1.6,8.7,14,17.4,22.8,21.7,17.7,9.5,3.4,-3.5,8.84166666666667
"89",1981,-7.9,1.4,2.3,9.2,14.7,19.6,22.1,20.8,15.6,9.2,4.9,-1.2,9.225
"90",1982,-7.2,-2.5,1.9,6.9,13.5,16.1,22,18.9,16.5,10.9,7.1,1.9,8.83333333333333
"91",1983,-2.5,-1.2,3.2,8.2,12.2,19.3,23,21.1,18.6,10.7,6.4,-1.5,9.79166666666667
"92",1984,-4.5,1.8,-1.1,7.2,13.4,19.7,21.5,21.6,15.7,12,5.6,2.4,9.60833333333333
"93",1985,-6.3,-1.1,3.2,8.6,14.1,16.7,21.8,20.3,17.2,11.7,6.2,-2.2,9.18333333333333
"94",1986,-1.8,-3.6,3.7,8.4,14.1,17.2,20.1,19.5,15.8,10.5,4.1,0.2,9.01666666666667
"95",1987,-3.4,-3.3,2.7,7.4,14.2,19,21.7,20.1,16.6,10.3,5.3,0.5,9.25833333333333
"96",1988,-4,-1.5,2.7,7,13.8,18.9,22.7,23,16.4,8.7,6.7,-1.5,9.40833333333333
"97",1989,-0.5,-2.6,1.7,7.1,14.8,18.7,21.2,20.8,17.3,11.9,4.3,-7.8,8.90833333333333
"98",1990,1.2,-0.5,3.4,7.9,12,18.6,21.7,21.6,16.7,13.3,7.1,2.6,10.4666666666667
"99",1991,-2.8,0,3.9,9.7,16.7,19.3,22.3,21.7,16,12.4,5.7,0.2,10.425
"100",1992,-2.3,-1.6,0.3,6.7,12.9,18.5,19.9,20.1,16.1,9.6,4.2,-0.5,8.65833333333333
"101",1993,-2.4,-5.3,0.4,7.7,14.7,19.1,22.4,22.3,16.7,9.7,5.9,-0.7,9.20833333333333
"102",1994,-7.2,-4.6,2,9.7,13,20.5,24,20.5,16,11.5,7.6,1.9,9.575
"103",1995,0.2,-3.4,2.9,7.2,13.1,19.2,23.4,21.2,16.2,13.5,3.4,-3,9.49166666666667
"104",1996,-3.3,-2.6,0.9,8.1,13.5,19.2,21,20.8,16.7,10.8,3,2.6,9.225
"105",1997,-3.3,0.7,1.4,7.3,12.3,19.2,22.4,20.9,16.8,10.5,3.9,0.2,9.35833333333333
"106",1998,-0.1,1.3,4.1,9.2,15.5,17.6,22.2,21.8,18.3,11.2,5.5,3,10.8
"107",1999,-2.1,-0.7,2.6,9,14.9,20.8,23.7,21.4,19.3,10.4,7.9,1.3,10.7083333333333
"108",2000,-4.5,-0.6,5,7.4,13.7,18.9,20.1,20.1,16.7,11,4.9,-3.3,9.11666666666667
"109",2001,-3.2,-1.7,0.5,8.5,15.3,20.7,20.4,22.8,18.1,12.6,7.8,3.1,10.4083333333333
"110",2002,0.8,0.5,3.2,9.3,13,18.1,22.3,22.9,19.1,9.8,4.3,-1.4,10.1583333333333
"111",2003,-6.8,-5,1.5,5.9,12.4,17.8,22.7,22.5,17.9,10,6.4,0.4,8.80833333333333
"112",2004,-8.5,-2.4,2.6,8.2,14.8,18.2,20.9,21.1,17.6,10.7,5.3,-0.3,9.01666666666667
"113",2005,-4.5,-1.5,0.2,9.7,10.7,20.1,22.3,23.3,19.2,11.3,6.9,-1.2,9.70833333333333
"114",2006,0.9,-1.6,2.4,9.7,13.3,19.3,23.6,20.8,16.9,10.9,8.4,3.4,10.6666666666667
"115",2007,-1.1,-5.1,1.6,6.7,15.3,18.7,22.2,22.1,19,14,4.7,-1.7,9.7
"116",2008,-1.4,-1.2,1.6,9.3,13,20.1,23.5,20.4,17.6,10.7,5,0.6,9.93333333333333
"117",2009,-6.1,-1.4,1.8,9.7,14.5,16.4,20.3,22.3,16.3,9.9,8.2,-1.2,9.225
"118",2010,-3,-1.1,5.7,11.1,16.3,20.4,24.6,22.2,18.9,11.2,5.6,-1.4,10.875
"119",2011,-4.2,-2.7,2.5,9,14.3,18.7,23.6,21.9,18.6,12.4,8.8,2.7,10.4666666666667
"120",2012,-0.7,1.3,6.4,10.3,15.4,18.3,23.7,23.1,17.8,12.6,4.7,2.5,11.2833333333333
"121",2013,-2,-1.9,1.7,8.8,15,19.9,24.1,20.9,17.2,12.3,4.5,-0.6,9.99166666666667
"122",2014,-4.5,-3.1,-1.3,8.1,14.7,19.4,22.5,20.8,18.7,12.6,4.4,2.2,9.54166666666667
"123",2015,-5.2,-9.2,-1,8.2,16.9,18,22.7,23.1,20.3,10.9,8,6.1,9.9
